Reference, Value, Footprint, Datasheet
U2,XR8052,SMD_Packages:SOIC-8-N,
U3,XR8052,SMD_Packages:SOIC-8-N,
R11,1k,Resistors_SMD:R_0805_HandSoldering,
R14,2k,Resistors_SMD:R_0805_HandSoldering,
R13,3.6k,Resistors_SMD:R_0805_HandSoldering,
R22,1k,Resistors_SMD:R_0805_HandSoldering,
R19,1k,Resistors_SMD:R_0805_HandSoldering,
R20,1k,Resistors_SMD:R_0805_HandSoldering,
R21,2k,Resistors_SMD:R_0805_HandSoldering,
U1,XR8052,SMD_Packages:SOIC-8-N,
R4,1k,Resistors_SMD:R_0805_HandSoldering,
R6,2k,Resistors_SMD:R_0805_HandSoldering,
R5,1.2k,Resistors_SMD:R_0805_HandSoldering,
R7,1k,Resistors_SMD:R_0805_HandSoldering,
R3,1k,Resistors_SMD:R_0805_HandSoldering,
R1,1.2k,Resistors_SMD:R_0805_HandSoldering,
R12,6.2k,Resistors_SMD:R_0805_HandSoldering,
R15,9.1k,Resistors_SMD:R_0805_HandSoldering,
R18,1k,Resistors_SMD:R_0805_HandSoldering,
R16,1k,Resistors_SMD:R_0805_HandSoldering,
R8,1k,Resistors_SMD:R_0805_HandSoldering,
R10,1k,Resistors_SMD:R_0805_HandSoldering,
R2,75R,Resistors_SMD:R_0805_HandSoldering,
R9,75R,Resistors_SMD:R_0805_HandSoldering,
R17,75R,Resistors_SMD:R_0805_HandSoldering,
C3,47uF,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
C2,47uF,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
C1,47uF,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
P1,CONN_01X06,Pin_Headers:Pin_Header_Straight_1x06,
U4,4066,SMD_Packages:SOIC-14_N,
U5,LM1881,SMD_Packages:SOIC-8-N,
C6,100nF,Capacitors_SMD:C_0805_HandSoldering,
C7,100nF,Capacitors_SMD:C_0805_HandSoldering,
R23,680k,Resistors_SMD:R_0805_HandSoldering,
C8,47uF,Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering,
C9,100nF,Capacitors_SMD:C_0805_HandSoldering,
C10,100nF,Capacitors_SMD:C_0805_HandSoldering,
C11,100nF,Capacitors_SMD:C_0805_HandSoldering,
C12,100nF,Capacitors_SMD:C_0805_HandSoldering,
C13,100nF,Capacitors_SMD:C_0805_HandSoldering,
R24,680R,Resistors_SMD:R_0805_HandSoldering,
R25,82R,Resistors_SMD:R_0805_HandSoldering,
P6,CONN_01X01,Connect:1pin,
P7,CONN_01X01,Connect:1pin,
P8,CONN_01X01,Connect:1pin,
P9,CONN_01X01,Connect:1pin,
P3,SEL,Pin_Headers:Pin_Header_Straight_1x03,
P4,SEL,Pin_Headers:Pin_Header_Straight_1x03,
P5,SEL,Pin_Headers:Pin_Header_Straight_1x03,
U6,TL081,SMD_Packages:SOIC-8-N,
C14,10nF,Capacitors_SMD:C_0805_HandSoldering,
C15,100nF,Capacitors_SMD:C_0805_HandSoldering,
R28,10k,Resistors_SMD:R_0805_HandSoldering,
R29,10k,Resistors_SMD:R_0805_HandSoldering,
P2,CONN_01X08,Pin_Headers:Pin_Header_Straight_1x08,
P10,12V,Pin_Headers:Pin_Header_Straight_1x01,
R30,270R,Resistors_SMD:R_0805_HandSoldering,
L1,FERRITE,Resistors_SMD:R_1206_HandSoldering,
R26,1k,Resistors_SMD:R_0805_HandSoldering,
